dblp_key,year,title,venue,members
conf/icse-seet/CasseeRSSS26,2026,What barriers do students experience when trying to contribute to Open Source Software projects?,SEET@ICSE,igor-steinmacher;italo-santos
conf/sigcse/WurstFKS26,2026,Ways to Make Git Easier to Teach,SIGCSE (2),igor-steinmacher
conf/sigsoft/AfrozFMKTSS26,2026,The Fast and Spurious: Developer Productivity with GenAI,SIGSOFT FSE Companion,bianca-trinkenreich;igor-steinmacher
conf/sigsoft/AcharyaCPOEDGGS26,2026,Shh! Don't Tell Them I Use GenAI: Exploring How Participants Use Generative AI in Hackathons,SIGSOFT FSE Companion,bruno-gadelha;igor-steinmacher;jacob-penney;marco-gerosa;misan-etchie;pawan-acharya;tayana-conte
journals/ese/CoutinhoBCPASGG26,2026,Leveraging large language models for sentiment analysis in GitHub pull request discussions,Empir. Softw. Eng.,alessandro-garcia;daniel-coutinho;igor-steinmacher;marco-gerosa
journals/jss/RochaWPSRSN26,2026,Investigating the potential of using worked examples to help resolve issues in a GitHub project,J. Syst. Softw.,igor-steinmacher;igor-wiese
conf/icse-chase/OliveiraCGS26,2026,Governance in Practice: How Open Source Projects Define and Document Roles,CHASE@ICSE,igor-steinmacher;marco-gerosa;tayana-conte
conf/ide/KulaTHBBBCCCFGG26,2026,Forecasting Developer Environments with GenAI: A Research Perspective,IDE@ICSE,igor-steinmacher;mairieli-wessel;marco-gerosa
conf/icse-gas/AmreshSS26,2026,Evaluating the Effect of Generative AI Content in Common Game Development Software Architectures,GAS@ICSE,igor-steinmacher
conf/icse/ChoudhuriTPKSGS25,2025,What Guides Our Choices? Modeling Developers' Trust and Behavioral Intentions Towards Genai,ICSE,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/iceis/SantosFSCOG25,2025,User Stories: Does ChatGPT Do It Better?,ICEIS (2),bruno-gadelha;igor-steinmacher;tayana-conte
conf/csedu/GomesSM0LSCG25,2025,"Understanding the Student Experience Better: Analyzing Remote Learning Tools Through Engagement, Participation, and Liveness Concepts",CSEDU (2),bruno-gadelha;genildo-junior;igor-steinmacher;tayana-conte
conf/comped/PenneyAHPSSG25,2025,Understanding Programming Students' Help-Seeking Preferences in the Era of Generative AI,CompEd (1),igor-steinmacher;jacob-penney;marco-gerosa;pawan-acharya;peter-hilbert
conf/botse-ws/EtchieBFS25,2025,Towards a Dataset to Assess Conversational Agent's Efficacy in Mentoring Newcomer Developers,BotSE@ICSE,hunter-beach;igor-steinmacher;katia-romero-felizardo;misan-etchie
conf/icse-chase/FengSGMSMS25,2025,"The Multifaceted Nature of Mentoring in OSS: Strategies, Qualities, and Ideal Outcomes",CHASE@ICSE,igor-steinmacher;marco-gerosa
journals/infsof/SantosFSG25,2025,Software solutions for newcomers' onboarding in software projects: A systematic literature review,Inf. Softw. Technol.,igor-steinmacher;italo-santos;katia-romero-felizardo;marco-gerosa
conf/nlbse/CarterCVAUFJJPSGS25,2025,SkillScope: A Tool to Predict Fine-Grained Skills Needed to Solve Issues on GitHub,NLBSE@ICSE,fabio-santos;igor-steinmacher;jacob-penney;marco-gerosa;pawan-acharya
conf/sbes/CoutinhoPNCBASG25,2025,PRemo: A Dataset of Emotions Found on Pull Request Discussions,SBES,alessandro-garcia;caio-vieira;daniel-coutinho;igor-steinmacher;joao-correia;marco-gerosa
conf/cui/PenneyAHPSSG25,2025,"Outcomes, Perceptions, and Interaction Strategies of Novice Programmers Studying with ChatGPT",CUI,igor-steinmacher;jacob-penney;marco-gerosa;pawan-acharya;peter-hilbert
conf/csee/SantosFSSG25,2025,Ossdoorway: A Gamified Environment to Scaffold Student Contributions to Open Source Software,CSEE&T,igor-steinmacher;italo-santos;katia-romero-felizardo;marco-gerosa
conf/wsese/FelizardoDCGMGS25,2025,On the Difficulties of Conducting and Replicating Systematic Literature Reviews Studies Using LLMs in Software Engineering,WSESE@ICSE,daniel-coutinho;genildo-junior;igor-steinmacher;katia-romero-felizardo;marco-gerosa;maria-meireles
conf/sbes/MedeirosCWS25,2025,O uso de exemplos trabalhados para facilitar a contribuição de novatos em projetos de software livre,SBES,igor-steinmacher;igor-wiese
conf/icse/TrinkenreichFCG25,2025,Investigating the Impact of Interpersonal Challenges on Feeling Welcome in OSS,ICSE,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/sbes/MacielWWS25,2025,Investigating the Impact of GitHub Discussions on Maintainers' Workload and Community Dynamics,SBES,igor-steinmacher;igor-wiese;mairieli-wessel
conf/csee/ChoudhuriRCTSGS25,2025,Insights from the Frontline: GenAI Utilization Among Software Engineering Students,CSEE&T,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/etra/WieseBR0GSS25,2025,How Developers Make Decisions When Choosing Issues and Reviewing Code: An Eye Tracking GitHub Study,ETRA,igor-steinmacher;igor-wiese;marco-gerosa
conf/forge/TreudeG25,2025,How Developers Interact with AI: A Taxonomy of Human-AI Collaboration in Software Engineering,Forge@ICSE,marco-gerosa
journals/jss/LimaSFVGCG25,2025,How are discussions linked? A link analysis study on GitHub Discussions,J. Syst. Softw.,bruno-gadelha;igor-steinmacher;tayana-conte
journals/software/TrinkenreichGSS25,2025,Guidelines for Cultivating a Sense of Belonging to Reduce Developer Burnout,IEEE Softw.,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/icse-chase/SantosFSG25,2025,Great Power Brings Great Responsibility: Personalizing Conversational AI for Diverse Problem-Solvers,CHASE@ICSE,igor-steinmacher;italo-santos;katia-romero-felizardo;marco-gerosa
conf/icsm/OliveiraAHGS25,2025,Governance Matters: Lessons From Restructuring the Data.Table OSS Project,ICSME,igor-steinmacher;marco-gerosa
conf/sigsoft/SantosFTGSG25,2025,Exploring the Untapped: Student Perceptions and Participation in OSS,SIGSOFT FSE Companion,bianca-trinkenreich;igor-steinmacher;italo-santos;katia-romero-felizardo;marco-gerosa
conf/vl/GadelhaQSCS25,2025,Enhancing User-centered Design with Large Language Models,VL/HCC,bruno-gadelha;igor-steinmacher;tayana-conte
conf/sbes/MeirelesRSMC25,2025,Design Thinking as a Toolbox for Requirements Engineering Education: Lessons from the Classroom,SBES,igor-steinmacher;maria-meireles;tayana-conte
journals/smr/PenaCSBSFAKS25,2025,Comparing the Efficacy of Rapid Review With a Systematic Review in the Software Engineering Field,J. Softw. Evol. Process.,igor-steinmacher
conf/wsese/CostalongaNBFSK25,2025,Can Machine Learning Support the Selection of Studies for Systematic Literature Review Updates?,WSESE@ICSE,igor-steinmacher;katia-romero-felizardo
